Iteration	Y	var_1	var_2
1.0	-1591.0872702836812	50.0	50.0
2.0	-1595.3672276981476	-50.0	50.0
3.0	-1585.8831599231466	50.0	-50.0
4.0	-1513.530074017012	-50.0	-50.0
5.0	-1628.5197894994983	25.0	25.0
6.0	-1559.0692921826196	-25.0	25.0
7.0	-1552.4561158008312	25.0	-25.0
8.0	-1561.1728476893322	-25.0	-25.0
9.0	-1570.2033845411222	52.30651279532225	-51.48053939050059
10.0	-1556.160263896883	27.319452698145838	27.275431699322827
11.0	-1562.7025649568532	23.20407868945138	23.757887533586782
12.0	-1558.85353719193	25.94741497634317	25.983402116895434
13.0	-1592.5590718652888	49.25458027704988	49.211238011300736
14.0	-1595.7373830046072	-50.22026708652513	49.409292882372
15.0	-1596.6729270241858	-49.17143032966844	49.33639606389541
16.0	-1561.2406657714887	24.893653686554096	24.66570189480485
17.0	-1574.4042991127524	9.160235670399189	24.67661429228562
18.0	-1542.344550296771	25.841800838107673	40.72126803462723
19.0	-1556.1676610542706	45.32868858165148	-79.87777959455056
20.0	-1540.6319117441797	-32.3736180449028	40.99304413290179
21.0	-1560.6189749533196	-31.75231934518243	87.34888013844738
22.0	-1554.1843624575538	-1.2677047342940995	-34.65033892312573
23.0	-1578.6132445065855	-47.38032012311475	-67.17840569524714
