Iteration	Y	var_1	var_2
1.0	-418.75259682389583	50.0	50.0
2.0	-444.4470174454479	-50.0	50.0
3.0	-443.6520958956932	50.0	-50.0
4.0	-416.45840502216913	-50.0	-50.0
5.0	-542.9141842954814	25.0	25.0
6.0	-543.9732048536002	-25.0	25.0
7.0	-533.8986989853273	25.0	-25.0
8.0	-535.2423189692493	-25.0	-25.0
9.0	-544.6198406458743	-24.538094940749538	25.203887779301446
10.0	-581.9863238317369	-15.224028765688177	16.26142234342041
11.0	-648.3190221181875	-1.2301150986008607	3.2988689183687243
12.0	-645.4708755017098	3.778117088846979	-2.090696135285293
13.0	-632.3840047985971	4.622005266313803	5.164417076918926
14.0	-643.5631985903224	-3.890067497614848	-3.4314977627777457
15.0	-271.20646109757536	100.0	-100.0
16.0	-273.10115989792894	-100.0	100.0
17.0	-246.60096418968007	-100.0	-100.0
18.0	-231.49753518638914	100.0	100.0
19.0	-368.12584848695934	3.0566517400639475	-100.0
20.0	-361.9343620201866	100.0	-4.364651851125491
21.0	-371.24572680564785	-2.0171363980344514	100.0
22.0	-378.34190143876447	-100.0	1.4081299906979419
23.0	-512.9900055135149	-0.2364444696237964	-41.62269168896939
